,Ind,Pop,Row.x,Col,Source,Row.y,Column,Block,Population,State,Country,Longitude,Latitude,Elevation,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
1,2019_25_N,2019,25,N,2019,25,N,twentynine,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620,94,122,38,7039,247,-68,315,92,101,181,0,1728,175,116,9,467,387,438,436
2,2019_32_H,2019,32,H,2019,32,H,nineteen,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620,94,122,38,7039,247,-68,315,92,101,181,0,1728,175,116,9,467,387,438,436
3,2019_33_G,2019,33,G,2019,33,G,nineteen,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620,94,122,38,7039,247,-68,315,92,101,181,0,1728,175,116,9,467,387,438,436
4,2019_33_H,2019,33,H,2019,33,H,nineteen,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620,94,122,38,7039,247,-68,315,92,101,181,0,1728,175,116,9,467,387,438,436
5,2019_34_H,2019,34,H,2019,34,H,nineteen,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620,94,122,38,7039,247,-68,315,92,101,181,0,1728,175,116,9,467,387,438,436
6,2019_34_J,2019,34,J,2019,34,J,nineteen,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620,94,122,38,7039,247,-68,315,92,101,181,0,1728,175,116,9,467,387,438,436
7,2019_35_F,2019,35,F,2019,35,F,nineteen,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620,94,122,38,7039,247,-68,315,92,101,181,0,1728,175,116,9,467,387,438,436
8,2019_35_G,2019,35,G,2019,35,G,nineteen,Indian_Gap,North_Carolina,USA,-83.45,35.6,1620,94,122,38,7039,247,-68,315,92,101,181,0,1728,175,116,9,467,387,438,436
9,2020_27_D,2020,27,D,2020,27,D,six,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160,81,118,34,7914,246,-93,339,161,-26,178,-26,1298,130,92,9,364,290,356,290
10,2020_29_D,2020,29,D,2020,29,D,six,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160,81,118,34,7914,246,-93,339,161,-26,178,-26,1298,130,92,9,364,290,356,290
11,2020_30_D,2020,30,D,2020,30,D,six,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160,81,118,34,7914,246,-93,339,161,-26,178,-26,1298,130,92,9,364,290,356,290
12,2020_51_I,2020,51,I,2020,51,I,twentythree,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160,81,118,34,7914,246,-93,339,161,-26,178,-26,1298,130,92,9,364,290,356,290
13,2020_52_I,2020,52,I,2020,52,I,twentythree,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160,81,118,34,7914,246,-93,339,161,-26,178,-26,1298,130,92,9,364,290,356,290
14,2020_54_I,2020,54,I,2020,54,I,twentythree,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160,81,118,34,7914,246,-93,339,161,-26,178,-26,1298,130,92,9,364,290,356,290
15,2020_55_F,2020,55,F,2020,55,F,twentythree,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160,81,118,34,7914,246,-93,339,161,-26,178,-26,1298,130,92,9,364,290,356,290
16,2020_55_J,2020,55,J,2020,55,J,twentythree,Glade_Run,West_Virginia,USA,-79.83333,38.63333,1160,81,118,34,7914,246,-93,339,161,-26,178,-26,1298,130,92,9,364,290,356,290
17,2021_10_I,2021,10,I,2021,10,I,fourteen,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550,89,110,30,8864,274,-86,360,180,-30,200,-30,1025,110,65,15,310,205,297,205
18,2021_41_O,2021,41,O,2021,41,O,thirtythree,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550,89,110,30,8864,274,-86,360,180,-30,200,-30,1025,110,65,15,310,205,297,205
19,2021_42_O,2021,42,O,2021,42,O,thirtythree,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550,89,110,30,8864,274,-86,360,180,-30,200,-30,1025,110,65,15,310,205,297,205
20,2021_44_O,2021,44,O,2021,44,O,thirtythree,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550,89,110,30,8864,274,-86,360,180,-30,200,-30,1025,110,65,15,310,205,297,205
21,2021_45_N,2021,45,N,2021,45,N,thirtythree,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550,89,110,30,8864,274,-86,360,180,-30,200,-30,1025,110,65,15,310,205,297,205
22,2021_45_O,2021,45,O,2021,45,O,thirtythree,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550,89,110,30,8864,274,-86,360,180,-30,200,-30,1025,110,65,15,310,205,297,205
23,2021_6_H,2021,6,H,2021,6,H,fourteen,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550,89,110,30,8864,274,-86,360,180,-30,200,-30,1025,110,65,15,310,205,297,205
24,2021_6_I,2021,6,I,2021,6,I,fourteen,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550,89,110,30,8864,274,-86,360,180,-30,200,-30,1025,110,65,15,310,205,297,205
25,2022_36_H,2022,36,H,2022,36,H,twenty,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550,69,118,30,9210,263,-119,382,164,-42,185,-54,1121,106,75,10,312,242,311,246
26,2022_36_I,2022,36,I,2022,36,I,twenty,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550,69,118,30,9210,263,-119,382,164,-42,185,-54,1121,106,75,10,312,242,311,246
27,2022_37_F,2022,37,F,2022,37,F,twenty,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550,69,118,30,9210,263,-119,382,164,-42,185,-54,1121,106,75,10,312,242,311,246
28,2022_40_H,2022,40,H,2022,40,H,twenty,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550,69,118,30,9210,263,-119,382,164,-42,185,-54,1121,106,75,10,312,242,311,246
29,2022_51_M,2022,51,M,2022,51,M,thirtyfive,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550,69,118,30,9210,263,-119,382,164,-42,185,-54,1121,106,75,10,312,242,311,246
30,2022_52_N,2022,52,N,2022,52,N,thirtyfive,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550,69,118,30,9210,263,-119,382,164,-42,185,-54,1121,106,75,10,312,242,311,246
31,2022_53_L,2022,53,L,2022,53,L,thirtyfive,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550,69,118,30,9210,263,-119,382,164,-42,185,-54,1121,106,75,10,312,242,311,246
32,2022_53_O,2022,53,O,2022,53,O,thirtyfive,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550,69,118,30,9210,263,-119,382,164,-42,185,-54,1121,106,75,10,312,242,311,246
33,2024_16_H,2024,16,H,2024,16,H,sixteen,Upper_Jay,New-York,USA,-73.66667,44.41667,610,56,119,29,9929,259,-149,408,179,-65,179,-77,907,106,51,20,281,163,281,171
34,2024_16_J,2024,16,J,2024,16,J,sixteen,Upper_Jay,New-York,USA,-73.66667,44.41667,610,56,119,29,9929,259,-149,408,179,-65,179,-77,907,106,51,20,281,163,281,171
35,2024_17_F,2024,17,F,2024,17,F,sixteen,Upper_Jay,New-York,USA,-73.66667,44.41667,610,56,119,29,9929,259,-149,408,179,-65,179,-77,907,106,51,20,281,163,281,171
36,2024_18_F,2024,18,F,2024,18,F,sixteen,Upper_Jay,New-York,USA,-73.66667,44.41667,610,56,119,29,9929,259,-149,408,179,-65,179,-77,907,106,51,20,281,163,281,171
37,2024_32_D,2024,32,D,2024,32,D,seven,Upper_Jay,New-York,USA,-73.66667,44.41667,610,56,119,29,9929,259,-149,408,179,-65,179,-77,907,106,51,20,281,163,281,171
38,2024_33_M,2024,33,M,2024,33,M,thirtyone,Upper_Jay,New-York,USA,-73.66667,44.41667,610,56,119,29,9929,259,-149,408,179,-65,179,-77,907,106,51,20,281,163,281,171
39,2024_33_O,2024,33,O,2024,33,O,thirtyone,Upper_Jay,New-York,USA,-73.66667,44.41667,610,56,119,29,9929,259,-149,408,179,-65,179,-77,907,106,51,20,281,163,281,171
