"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
283 0.679885449207692 1 14 "GO:0000003" "reproduction" 0.828387560548542
-1794 0.0152523513486803 2 12 "GO:0000012" "single strand break repair" 0.0676981441921491
-1261 0.000307633365903222 2 54 "GO:0000018" "regulation of DNA recombination" 0.00382323885438795
1696 0.00150846300890294 2 23 "GO:0000027" "ribosomal large subunit assembly" 0.0130783583797151
1153 0.00401329239607882 5 41 "GO:0000041" "transition metal ion transport" 0.0259528512630746
-123 0.745212771418962 2 46 "GO:0000045;GO:1905037" "autophagosome organization" 0.858949595250077
-2839 7.27022719250925e-07 3 20 "GO:0000070;GO:0000819" "sister chromatid segregation" 2.34048759739575e-05
-1577 7.51685775536635e-10 5 101 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 3.78963092874319e-08
-2572 7.15379803650794e-06 2 20 "GO:0000076" "DNA replication checkpoint signaling" 0.000159291236279577
-1846 2.69960487021419e-05 2 34 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.000511584695972505
-1952 2.17095247915958e-09 3 62 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 9.50948364641705e-08
-1785 3.2341120627696e-07 2 54 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1.09633565697199e-05
1585 0.000255017208704332 2 35 "GO:0000096" "sulfur amino acid metabolic process" 0.00322941223534585
-1459 0.000644398632087735 3 36 "GO:0000132;GO:0040001;GO:0051294" "establishment of mitotic spindle localization" 0.00690016049745167
-36 0.947634524082935 3 22 "GO:0000154" "rRNA modification" 0.972007465777199
45 0.867939059577078 5 91 "GO:0000165" "MAPK cascade" 0.927967138158294
-254 0.462354263131972 2 55 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.673507824804273
-1062 0.169174182738518 -1 11 "GO:0000186" "obsolete activation of MAPKK activity" 0.361916266034684
617 0.187706444193842 -1 30 "GO:0000187" "obsolete activation of MAPK activity" 0.392016416667102
-282 0.139795144583979 2 183 "GO:0000209" "protein polyubiquitination" 0.320628863801195
-1036 0.05262613631778 6 23 "GO:0000212" "meiotic spindle organization" 0.165626662239232
-741 1.03016856328756e-06 3 295 "GO:0000226" "microtubule cytoskeleton organization" 2.95979613021974e-05
-862 0.264289747280246 2 11 "GO:0000245" "spliceosomal complex assembly" 0.482035634629909
37 0.955314533445702 2 15 "GO:0000266" "mitochondrial fission" 0.976137833027501
-402 0.543725489565514 5 15 "GO:0000271" "polysaccharide biosynthetic process" 0.738040642036095
1754 0.0177115557504663 2 12 "GO:0000272" "polysaccharide catabolic process" 0.0747634707191879
-849 0.000204785795880472 3 127 "GO:0000278" "mitotic cell cycle" 0.00269550564823951
-934 0.00018855101293365 3 106 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.00252207770425572
-779 0.223830574198652 2 16 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.438150398724394
-587 0.294273638333103 3 21 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.516803492118642
-881 0.0855458796517074 3 25 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.230654480756168
-9 0.975313243971589 2 77 "GO:0000302;GO:0034614" "response to reactive oxygen species" 0.985269182567896
-751 0.15992789527675 2 23 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.349981438312429
-135 0.576175224483893 3 114 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.76064239121589
-107 0.502541837336498 9 264 "GO:0000398;GO:0000377;GO:0000375;GO:0008380" "RNA splicing" 0.704281882947909
-849 0.294763668408986 2 10 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.516803492118642
123 0.770959442756268 4 37 "GO:0000422" "autophagy of mitochondrion" 0.874736149063587
369 0.618088566896755 2 12 "GO:0000423" "mitophagy" 0.789814131352682
1106 0.0479770376113411 3 21 "GO:0000460" "maturation of 5.8S rRNA" 0.15501166202842
-1055 0.153561351658402 9 12 "GO:0000467;GO:0031125;GO:0071035;GO:0071046;GO:0043634;GO:0071029;GO:0043633" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.339751935051025
1218 0.075211908025416 9 14 "GO:0000470" "maturation of LSU-rRNA" 0.210202805827204
862 0.142777562009106 3 19 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.325698121856401
441 0.568177573071738 2 11 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.755684656668832
-1029 0.119675669270655 4 15 "GO:0000578" "embryonic axis specification" 0.29096759626132
-1653 0.00041224600400285 5 30 "GO:0000723;GO:0032200" "telomere organization" 0.00478922314215485
-1089 2.81300553578623e-05 2 98 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.000521968804973667
-2241 0.00106293847362267 3 14 "GO:0000727" "double-strand break repair via break-induced replication" 0.0101798265287447
365 0.191228478796079 2 85 "GO:0000902" "cell morphogenesis" 0.396710011912363
