sample	treatment	generation	Generation	Rep	Fit_mean	fit_lower_ci	fit_upper_ci	EPR_mean	epr_lower_ci	epr_upper_ci	HS_mean	hs_lower_ci	hs_upper_ci	Surv_mean	Surv_lower_ci	Surv_upper_ci	Dev_mean	Dev_lower_ci	Dev_upper_ci
AA_F0_Rep1_	AM	F0	0	1	1.112493634	1.103715811	1.121271456	23	19.44688413	26.55311587	0.938333333	0.895169553	0.981497114	0.586666667	0.471929261	0.701404073	20.27272727	19.65811867	20.88733588
AA_F0_Rep2_	AM	F0	0	2	1.0156402	0.90965766	1.121622739	23.25	19.941582	26.558418	0.952727273	0.913345533	0.992109012	0.573333333	0.323268954	0.823397713	19.31818182	18.49175139	20.14461225
AA_F0_Rep3_	AM	F0	0	3	1.141441362	1.130474564	1.15240816	27.08333333	24.27489303	29.89177364	0.911666667	0.825957746	0.997375588	0.733333333	0.446489818	1.020176849	19.07272727	18.36248652	19.78296803
AA_F11_Rep1	AM	F11	11	1	1.164801701	1.151412481	1.178190921	19	8.597155381	29.40284462	0.975553858	0.92882032	1.022287396	0.546666667	-0.63879897	1.732132303	22.05263158	19.30230228	24.80296087
AA_F11_Rep2	AM	F11	11	2	1.235856451	1.219661626	1.252051277	20.41666667	13.04959815	27.78373518	0.829279834	0.459722558	1.19883711	0.630272953	-0.726784303	1.987330208	20.04166667	18.04289496	22.04043838
AA_F11_Rep3	AM	F11	11	3	1.10909518	1.093285982	1.124904378	32.25	24.84484211	39.65515789	0.931325839	0.860933162	1.001718516	0.48	-0.594802307	1.554802307	20.38095238	19.32972561	21.43217915
AA_F2_Rep2_	AM	F2	2	2	0.869843083	0.735502873	1.004183293	8.083333333	5.714374248	10.45229242	0.753333333	0.494785583	1.011881083	0.613333333	0.031104587	1.19556208	22.80434783	21.68359234	23.92510331
AA_F2_Rep3_	AM	F2	2	3	1.130788193	1.11520589	1.146370496	23.83333333	20.53927465	27.12739201	0.95	0.91315055	0.98684945	0.75047619	0.26486084	1.23609154	19.98484848	18.25701609	21.71268088
AA_F4_Rep1_	AM	F4	4	1	0.974816953	0.824811001	1.124822905	18.875	13.91699714	23.83300286	0.794166667	0.548873892	1.039459441	0.866666667	0.751929261	0.981404073	20.89230769	19.53885289	22.2457625
AA_F4_Rep2_	AM	F4	4	2	0.978964848	0.828338083	1.129591614	19.25	12.13667074	26.36332926	0.73	0.490850422	0.969149578	0.866666667	0.637191854	1.096141479	19.73846154	18.61767303	20.85925004
AA_F4_Rep3_	AM	F4	4	3	0.940368318	0.795858482	1.084878154	24	21.27726212	26.72273788	0.7875	0.54836385	1.02663615	0.76	0.660634492	0.859365508	20.31578947	19.15485904	21.47671991
AH_F0_Rep1_	OA	F0	0	1	1.101007958	1.089495808	1.112520108	24.83333333	21.68744153	27.97922514	0.884166667	0.73358007	1.034753263	0.48	0.082537966	0.877462034	19.02857143	18.12212755	19.93501531
AH_F0_Rep2_	OA	F0	0	2	1.100281664	0.985640636	1.214922692	27.18181818	23.30847844	31.05515793	0.936363636	0.868687206	1.004040066	0.786666667	0.410474923	1.16285841	18.98305085	17.78117198	20.18492972
AH_F0_Rep3_	OA	F0	0	3	1.004827496	0.993274109	1.016380883	19.66666667	16.09980562	23.23352771	0.951666667	0.890134834	1.013198499	0.32	0.147893891	0.492106109	19.58333333	18.3846738	20.78199287
AH_F2_Rep1_	OA	F2	2	1	1.082185236	1.065384208	1.098986265	11.08333333	6.578694366	15.5879723	0.878333333	0.78217173	0.974494936	0.56	0.006756263	1.113243737	21.45238095	20.54537669	22.35938521
AH_F2_Rep2_	OA	F2	2	2	0.946427659	0.827877502	1.064977817	34.91666667	29.82319072	40.01014261	0.899166667	0.718713981	1.079619352	0.546666667	-0.561307023	1.654640357	20.31707317	19.17491793	21.45922841
AH_F2_Rep3_	OA	F2	2	3	0.843725984	0.713967072	0.973484895	15.08333333	10.78719593	19.37947074	0.778333333	0.537473693	1.019192974	0.333333333	0.126487533	0.540179134	18.52	17.42788753	19.61211247
AH_F4_Rep1_	OA	F4	4	1	1.119357882	1.110746123	1.127969641	16.6875	12.70051494	20.67448506	0.9825	0.9655538	0.9994462	0.56	0.361268983	0.758731017	21	20.46329345	21.53670655
AH_F4_Rep2_	OA	F4	4	2	1.068068676	0.929071478	1.207065875	13.6875	10.19616801	17.17883199	0.909166667	0.726933072	1.091400262	0.86	0.605875905	1.114124095	18.86046512	16.94698865	20.77394158
AH_F4_Rep3_	OA	F4	4	3	1.007380265	0.875912804	1.138847726	19.70833333	16.41810664	22.99856002	0.7675	0.561560994	0.973439006	0.6	0.091751811	1.108248189	19.21875	17.68706033	20.75043967
HA_F0_Rep1_	OW	F0	0	1	0.704770552	0.53279856	0.876742545	16.6	12.64684075	20.55315925	0.86125	0.72252733	0.99997267	0.48	0.024650036	0.935349964	17.5	15.54243902	19.45756098
HA_F0_Rep2_	OW	F0	0	2	0.590612759	0.418872215	0.762353303	10.14285714	6.412193222	13.87352106	0.735714286	0.588393572	0.883035	0.52	0.257103576	0.782896424	17.15384615	16.19894338	18.10874893
HA_F0_Rep3_	OW	F0	0	3	0.581233031	0.411383037	0.751083025	9.818181818	3.371022128	16.26534151	0.5975	0.385088505	0.809911495	0.373333333	0.166487533	0.580179134	17.82142857	16.64997221	18.99288494
HA_F2_Rep1_	OW	F2	2	1	1.068735102	0.957771187	1.179699017	16	13.30435471	18.69564529	0.8875	0.706485519	1.068514481	0.853333333	0.549766691	1.156899976	16.71875	15.14333725	18.29416275
HA_F2_Rep2_	OW	F2	2	2	1.058208979	0.947899437	1.168518521	10.08333333	7.436344737	12.73032193	0.838333333	0.62706875	1.049597916	0.906666667	0.849297964	0.96403537	16.27941176	15.24444092	17.3143826
HA_F2_Rep3_	OW	F2	2	3	0.554707725	0.383330089	0.726085361	6.25	2.952693427	9.547306573	0.54	0.233569954	0.846430046	0.493333333	-0.461472176	1.448138843	15.75675676	14.42402936	17.08948415
HA_F4_Rep1_	OW	F4	4	1	0.941553509	0.796238547	1.086868472	13.975	10.94961822	17.00038178	0.972	0.950443159	0.993556841	0.778241758	0.297702264	1.258781253	16.91935484	15.38972027	18.44898941
HA_F4_Rep2_	OW	F4	4	2	0.818349398	0.655585139	0.981113657	11.375	8.758369947	13.99163005	0.3775	0.146148564	0.608851436	0.813333333	0.661550012	0.965116655	18.60655738	17.27043871	19.94267604
HA_F4_Rep3_	OW	F4	4	3	1.087203022	0.945105716	1.229300328	20.54166667	18.3744627	22.70887064	0.813333333	0.630118102	0.996548565	0.573333333	-0.59112416	1.737790827	17.04761905	15.12964911	18.96558899
HH_F0_Rep1_	OWA	F0	0	1	0.599082312	0.451813858	0.746350766	19.5	16.86931957	22.13068043	0.9375	0.89763991	0.97736009	0.191111111	-0.114855305	0.497077527	17	16.29831824	17.70168176
HH_F0_Rep2_	OWA	F0	0	2	0.716505975	0.642111651	0.790900298	14.18181818	11.94773364	16.41590272	0.870909091	0.751214664	0.990603518	0.08	-0.019365508	0.179365508	18.83333333	17.97647272	19.69019395
HH_F0_Rep3_	OWA	F0	0	3	0.7612518	0.643458066	0.879045534	17	14.77872883	19.22127117	0.882	0.746659794	1.017340206	0.226666667	-0.149525077	0.60285841	17.35294118	15.55124822	19.15463413
HH_F11_Rep1	OWA	F11	11	1	0.876813014	0.614967556	1.138658472	10.41666667	3.165066531	17.6682668	0.92938631	0.729695717	1.129076903	0.6	-0.310699928	1.510699928	16	13.60945892	18.39054108
HH_F11_Rep2	OWA	F11	11	2	0.919229854	0.645090649	1.19336906	3.166666667	-2.319913426	8.653246759	0.366666667	-0.312586636	1.045919969	0.586666667	-0.258427101	1.431760434	18.0952381	17.36665593	18.82382026
HH_F11_Rep3	OWA	F11	11	3	0.880435114	0.617787846	1.143082383	13.41666667	6.688289192	20.14504414	0.851256467	0.654756794	1.04775614	0.48	-0.403179958	1.363179958	17	15.88848837	18.11151163
HH_F4_Rep1_	OWA	F4	4	1	1.178752159	1.169406317	1.188098001	21.27083333	17.27905697	25.2626097	0.934166667	0.821563932	1.046769401	0.706666667	0.499820866	0.913512467	16.35185185	15.83054373	16.87315997
HH_F4_Rep2_	OWA	F4	4	2	1.147450408	1.135658467	1.159242348	16.45833333	14.2564799	18.66018677	0.981666667	0.961422872	1.001910461	0.706666667	0.456602287	0.956731046	15.125	14.03756952	16.21243048
HH_F4_Rep3_	OWA	F4	4	3	1.102348885	1.065806691	1.138891078	19.91666667	17.20885264	22.62448069	0.965	0.939226735	0.990773265	0.524313725	-0.182671174	1.231298624	16.38297872	15.01386475	17.75209269
